	Unknown	InNeurons	Oligodendrocytes	Endothelial	Microglia	Astrocytes	OPC	ExNeurons
14100	0.005183224	0.45624486	0.08969375	0.08469025	0.025008522	0.14540412	0.009433526	0.18434174
14138	0.0053122737	0.44729427	0.1107006	0.07978377	0.02302905	0.1315199	0.00885257	0.19350754
14122	0.005150706	0.4483849	0.11018207	0.076717965	0.02261815	0.12889804	0.007994576	0.20005356
14153	0.004644497	0.4595542	0.08759129	0.076074354	0.020252965	0.1322408	0.008031429	0.21161042
14137	0.005171116	0.4445807	0.099098094	0.07762421	0.022828383	0.13769454	0.009909348	0.20309365
14082	0.006860564	0.38841772	0.1556531	0.08448964	0.030096361	0.1466064	0.012377486	0.17549871
13545	0.0023576242	0.19247063	0.06103872	0.05167231	0.009131491	0.08967402	0.0053696856	0.5882855
13521	0.0077975295	0.33120012	0.071417935	0.07775512	0.036276985	0.2549509	0.017183745	0.20341761
13513	0.009189037	0.32301366	0.08612255	0.0831655	0.040570866	0.26309332	0.019236261	0.1756088
13394	0.002646561	0.18689708	0.045707047	0.060163915	0.008233574	0.12174859	0.0061132447	0.56848997
13481	0.0027292576	0.2651663	0.04807582	0.054179627	0.010746549	0.08032417	0.006218214	0.53256005
13457	0.0026270084	0.28477287	0.063725956	0.05600499	0.012157873	0.07457619	0.007349176	0.49878597
11311	0.0027560343	0.20367508	0.060900267	0.061328936	0.00987718	0.1006647	0.006363701	0.55443406
11342	0.0024576543	0.18004067	0.06285798	0.054603	0.008449459	0.09951004	0.0053198636	0.5867613
11334	0.0048669036	0.2844359	0.09354787	0.07595744	0.01875292	0.119332165	0.010970709	0.3921361
11294	0.0040956256	0.23055263	0.13332494	0.06849566	0.014292953	0.1140393	0.009269104	0.42592978
11270	0.009834315	0.08900744	0.501721	0.11616758	0.04578543	0.20060088	0.019400856	0.017482432
11317	0.009640172	0.084070496	0.50430816	0.12851472	0.047109943	0.18869169	0.02107283	0.016591972
11309	0.0038158577	0.24881028	0.047124874	0.064221404	0.014962729	0.1529835	0.010203352	0.45787802
11301	0.006420274	0.30137765	0.16256456	0.08420267	0.020803005	0.21787794	0.010765937	0.19598795
11293	0.0059412587	0.23948596	0.061037093	0.07550714	0.020398758	0.19262685	0.015991969	0.38901094
11312	0.0033727393	0.22608566	0.06532117	0.0685981	0.01164686	0.1323067	0.008251852	0.48441687
11304	0.0048917737	0.1954879	0.10994982	0.07698058	0.015881285	0.14846241	0.011712127	0.4366341
11287	0.0038707086	0.2091334	0.06553042	0.0768736	0.012451805	0.16378437	0.009228881	0.45912683
11279	0.0040322575	0.29697815	0.09016975	0.06710725	0.016058756	0.111851595	0.008991671	0.40481055
11264	0.003950097	0.17142148	0.10962858	0.06977579	0.0133261075	0.1430127	0.010101547	0.4787837
11206	0.0036923822	0.20330806	0.06449539	0.06291681	0.01292263	0.14482446	0.009040042	0.4988002
11190	0.0039328164	0.2424502	0.08718941	0.06906683	0.015753625	0.13056533	0.009456568	0.4415852
11174	0.0050744875	0.22185738	0.1356511	0.08387008	0.01688307	0.15470825	0.011349675	0.37060603
11300	0.004068269	0.2688577	0.0888147	0.070308916	0.01671946	0.115144394	0.011676709	0.42440987
11236	0.0033625767	0.26819322	0.06753043	0.0666646	0.011982399	0.081020154	0.009049942	0.49219668
11228	0.0032376589	0.20967005	0.08047545	0.06394179	0.012090032	0.13755582	0.007932702	0.48509645
13881	0.0036508974	0.21616293	0.067147814	0.068242945	0.012074348	0.13394794	0.008090332	0.49068275
14073	0.0029309932	0.20373224	0.06818721	0.05352432	0.010659379	0.09351263	0.0065289713	0.56092423
11292	0.004148968	0.20675854	0.10170298	0.07062346	0.01584153	0.13688831	0.01146081	0.45257536
11284	0.0044695763	0.22355688	0.10498633	0.07236206	0.017999293	0.16625258	0.010693594	0.39967966
11308	0.004073895	0.2658476	0.06769843	0.070971936	0.015542149	0.1376691	0.009433047	0.42876384
11113	0.0035847202	0.17303236	0.10816857	0.070417285	0.0122535555	0.11768264	0.009071498	0.50578934
11105	0.002815373	0.18927324	0.053679094	0.06321605	0.009166219	0.10601509	0.0065163113	0.56931853
11096	0.0040319846	0.21956891	0.057144534	0.080917194	0.012754977	0.12148288	0.01126752	0.49283198
11080	0.0055057243	0.17702378	0.245126	0.078244954	0.016966231	0.11919945	0.011434847	0.34649906
11128	0.0032637343	0.19711013	0.109228574	0.06609898	0.011432685	0.086174615	0.007846709	0.51884454
11269	0.0029457167	0.19382459	0.07775708	0.059867885	0.00992214	0.09090873	0.0066242428	0.55814964
11065	0.0039384146	0.22207563	0.08090964	0.077413596	0.013175712	0.12818973	0.009882794	0.4644145
11126	0.0048906356	0.2284513	0.089590825	0.07900837	0.018967627	0.16129263	0.011158193	0.4066404
11135	0.00499042	0.2118361	0.11078755	0.08021299	0.016085012	0.1328552	0.012250707	0.43098202
11111	0.005202981	0.20040528	0.091717996	0.084104486	0.016911268	0.11472648	0.012123074	0.47480845
11085	0.0045813434	0.24857657	0.062883675	0.07001712	0.01638448	0.14892857	0.01051738	0.43811086
11101	0.005430419	0.24094234	0.08063798	0.08190479	0.016839905	0.16267425	0.013172309	0.39839807
11117	0.0072673657	0.23017661	0.15237324	0.08945217	0.025987187	0.1986794	0.016505798	0.2795582
11109	0.004060743	0.2013617	0.08452787	0.064222	0.014197856	0.12302933	0.010241798	0.49835873
